oui	companyName
04:7D:7B	Quanta Computer Inc
00:26:AC	"Shanghai Luster Teraband photonic Co, Ltd"
70:B3:D5:56:4	christmann informationstechnik + medien GmbH & Co KG
4C:EC:EF	"Soraa, Inc"
5C:77:76	Tct mobile Ltd
10:A4:B9	"Baidu Online Network Tech (Beijing) Co, Ltd"
CC:F4:11	"Google, Inc"
00:0C:20	"Fi WIn, Inc"
00:0E:02	Advantech Amt Inc
7C:E2:CA	Juniper Networks
9C:32:CE	Canon Inc
24:24:0E	"Apple, Inc"
00:40:8F	WM-Data Minfo AB
00:A0:C1	Ortivus Medical AB
00:30:50	Versa Tech
00:0E:A2	"McAfee, Inc"
00:50:C2:5A:A	Transenna AB
A0:90:DE	"Veedims, Llc"
00:06:2E	Aristos Logic Corp
